,YEAR,MONTH,CAN
0,2000,1,1.4465
1,2000,2,1.4468
2,2000,3,1.447
3,2000,4,1.4548
4,2000,5,1.4783
5,2000,6,1.491
6,2000,7,1.4793
7,2000,8,1.4892
8,2000,9,1.4742
9,2000,10,1.5108
10,2000,11,1.5263
11,2000,12,1.5389
12,2001,1,1.4963
13,2001,2,1.4948
14,2001,3,1.5465
15,2001,4,1.575
16,2001,5,1.5338
17,2001,6,1.5324
18,2001,7,1.5153
19,2001,8,1.5358
20,2001,9,1.5535
21,2001,10,1.5794
22,2001,11,1.5913
23,2001,12,1.5762
24,2002,1,1.5974
25,2002,2,1.5908
26,2002,3,1.5955
27,2002,4,1.5995
28,2002,5,1.5579
29,2002,6,1.5282
30,2002,7,1.519
31,2002,8,1.5867
32,2002,9,1.5545
33,2002,10,1.5863
34,2002,11,1.558
35,2002,12,1.5595
36,2003,1,1.575
37,2003,2,1.5207
38,2003,3,1.4853
39,2003,4,1.4729
40,2003,5,1.4191
41,2003,6,1.3696
42,2003,7,1.3492
43,2003,8,1.396
44,2003,9,1.3876
45,2003,10,1.3481
46,2003,11,1.3323
47,2003,12,1.3023
48,2004,1,1.29
49,2004,2,1.3385
50,2004,3,1.3395
51,2004,4,1.3101
52,2004,5,1.374
53,2004,6,1.3687
54,2004,7,1.3325
55,2004,8,1.3314
56,2004,9,1.3071
57,2004,10,1.2629
58,2004,11,1.2229
59,2004,12,1.1856
60,2005,1,1.2108
61,2005,2,1.2405
62,2005,3,1.2425
63,2005,4,1.2146
64,2005,5,1.2552
65,2005,6,1.2471
66,2005,7,1.2418
67,2005,8,1.2136
68,2005,9,1.1855
69,2005,10,1.1657
70,2005,11,1.1765
71,2005,12,1.1682
72,2006,1,1.1565
73,2006,2,1.1401
74,2006,3,1.1365
75,2006,4,1.1718
76,2006,5,1.113
77,2006,6,1.1003
78,2006,7,1.1112
79,2006,8,1.1312
80,2006,9,1.1056
81,2006,10,1.1154
82,2006,11,1.1313
83,2006,12,1.1445
84,2007,1,1.1647
85,2007,2,1.1756
86,2007,3,1.1711
87,2007,4,1.1556
88,2007,5,1.1088
89,2007,6,1.0602
90,2007,7,1.0553
91,2007,8,1.0565
92,2007,9,1.056
93,2007,10,0.9929
94,2007,11,0.9497
95,2007,12,1
96,2008,1,0.9922
97,2008,2,0.9939
98,2008,3,0.9867
99,2008,4,1.0268
100,2008,5,1.0187
101,2008,6,1.0011
102,2008,7,1.022
103,2008,8,1.0251
104,2008,9,1.0698
