,YEAR,MONTH,EUR
0,2000,1,0.9847365829640571
1,2000,2,1.027643613194944
2,2000,3,1.0309278350515465
3,2000,4,1.0460251046025104
4,2000,5,1.0964912280701753
5,2000,6,1.0744600838078866
6,2000,7,1.0497585555322275
7,2000,8,1.083658430862592
8,2000,9,1.1119759813188035
9,2000,10,1.1355893708834885
10,2000,11,1.1649580615097856
11,2000,12,1.140901312036509
12,2001,1,1.0565240359218173
13,2001,2,1.0656436487638534
14,2001,3,1.0763104079216446
15,2001,4,1.1332728921124207
16,2001,5,1.1189437171310281
17,2001,6,1.183151916706105
18,2001,7,1.1827321111768183
19,2001,8,1.1372682815876265
20,2001,9,1.1276499774470004
21,2001,10,1.0918222513374822
22,2001,11,1.105705440070765
23,2001,12,1.1239743733842869
24,2002,1,1.107297087808659
25,2002,2,1.1610356437942646
26,2002,3,1.155802126675913
27,2002,4,1.1355893708834885
28,2002,5,1.1035091591260207
29,2002,6,1.0649627263045793
30,2002,7,1.0108157282927324
31,2002,8,1.015950421619425
32,2002,9,1.0041168792047395
33,2002,10,1.0143016533116949
34,2002,11,1.0029084344599337
35,2002,12,1.0073536818777071
36,2003,1,0.9651578033008397
37,2003,2,0.9292816652727441
38,2003,3,0.9229349330872174
39,2003,4,0.917094644167278
40,2003,5,0.8898380494749957
41,2003,6,0.8514986376021798
42,2003,7,0.8635578583765113
43,2003,8,0.8887308922858159
44,2003,9,0.919793966151582
45,2003,10,0.8541168431841476
46,2003,11,0.8730574471800244
47,2003,12,0.8364001338240215
48,2004,1,0.7941550190597204
49,2004,2,0.8047642040882022
50,2004,3,0.8044405116241653
51,2004,4,0.8091924259588931
52,2004,5,0.8377314233056882
53,2004,6,0.8190008190008189
54,2004,7,0.8225037012666557
55,2004,8,0.8309788931361143
56,2004,9,0.8210854749979473
57,2004,10,0.8064516129032259
58,2004,11,0.7848677497841614
59,2004,12,0.7514277126540427
60,2005,1,0.7420599584446423
61,2005,2,0.7682261657832066
62,2005,3,0.7582075972401243
63,2005,4,0.7754342431761786
64,2005,5,0.7777864198491093
65,2005,6,0.8175277959450621
66,2005,7,0.8363301831563101
67,2005,8,0.8200082000820008
68,2005,9,0.8034064433196755
69,2005,10,0.8393486654356219
70,2005,11,0.833472245374229
71,2005,12,0.8545547769612033
72,2006,1,0.8347245409015025
73,2006,2,0.8269930532583526
74,2006,3,0.8404067568703253
75,2006,4,0.8248102936324646
76,2006,5,0.7932101213611487
77,2006,6,0.7797878976918279
78,2006,7,0.7816774798718048
79,2006,8,0.7825950853028643
80,2006,9,0.7792410192472531
81,2006,10,0.7846829880728186
82,2006,11,0.7830240388379924
83,2006,12,0.7509762691498949
84,2007,1,0.7526719855486979
85,2007,2,0.7679901697258275
86,2007,3,0.7591285204585136
87,2007,4,0.7477194556602363
88,2007,5,0.7352941176470588
89,2007,6,0.744047619047619
90,2007,7,0.7338372349012989
91,2007,8,0.730887297178775
92,2007,9,0.7330840847445201
93,2007,10,0.7027900766041183
94,2007,11,0.6927606511950121
95,2007,12,0.6822678583611926
96,2008,1,0.6785181164337087
97,2008,2,0.6733553296074338
98,2008,3,0.6581112207963146
99,2008,4,0.6404098623118796
100,2008,5,0.6469142191745374
101,2008,6,0.6430868167202572
102,2008,7,0.6337938902268981
103,2008,8,0.6423845313804843
104,2008,9,0.6886103842445944
105,2008,10,0.7113387395077536
106,2008,11,0.7862253321802029
107,2008,12,0.791514959632737
108,2009,1,0.7170514842965725
109,2009,2,0.7807620237351656
110,2009,3,0.794912559618442
111,2009,4,0.7562580352416244
112,2009,5,0.7537499057812618
113,2009,6,0.7046223224351748
114,2009,7,0.7049203440011278
115,2009,8,0.6936736958934517
116,2009,9,0.7024938531787847
117,2009,10,0.6881365262868153
118,2009,11,0.6743997841920691
119,2009,12,0.6622516556291391
120,2010,1,0.6935293709688606
121,2010,2,0.7192174913693901
122,2010,3,0.7398638650488311
123,2010,4,0.7369739848183359
124,2010,5,0.758552681483729
125,2010,6,0.8152616990053808
126,2010,7,0.8023106546854942
127,2010,8,0.7590708972218005
128,2010,9,0.7804573480059314
129,2010,10,0.7270612185546024
130,2010,11,0.7200460829493087
131,2010,12,0.7605141075366948
132,2011,1,0.747887218607434
133,2011,2,0.7250054375407816
134,2011,3,0.7239556939115326
135,2011,4,0.7034822370735139
136,2011,5,0.6724949562878278
137,2011,6,0.692952671332548
138,2011,7,0.6892748828232699
139,2011,8,0.7041261794113506
140,2011,9,0.7001330252748023
141,2011,10,0.7529553497477599
142,2011,11,0.7312079555425564
143,2011,12,0.7414547341884777
144,2012,1,0.7656381594058648
145,2012,2,0.758782912208817
146,2012,3,0.7507507507507507
147,2012,4,0.7504690431519699
148,2012,5,0.7560864962951762
149,2012,6,0.8051529790660226
150,2012,7,0.7946598855689765
151,2012,8,0.8130742336775347
152,2012,9,0.7957981855801369
153,2012,10,0.7751937984496123
154,2012,11,0.7729767334003246
155,2012,12,0.765345170671973
156,2013,1,0.7578628268283442
157,2013,2,0.7303534910896874
158,2013,3,0.769941484447182
159,2013,4,0.7777864198491093
160,2013,5,0.7580351728320195
161,2013,6,0.7634753397465261
162,2013,7,0.7656967840735068
163,2013,8,0.7566013467503971
164,2013,9,0.7596475235490732
165,2013,10,0.7388798581350673
166,2013,11,0.741399762752076
167,2013,12,0.7378984651711925
168,2014,1,0.731528895391368
169,2014,2,0.7394808844191377
170,2014,3,0.7265857734505557
171,2014,4,0.7244277021153288
172,2014,5,0.7211365111415591
173,2014,6,0.7349698662354843
174,2014,7,0.7309407207075506
175,2014,8,0.7442691277165824
176,2014,9,0.7619628162145687
177,2014,10,0.7925186241876684
178,2014,11,0.8008328661808282
179,2014,12,0.8006405124099278
180,2015,1,0.8322929671244278
181,2015,2,0.8820675663755845
182,2015,3,0.8936550491510277
183,2015,4,0.9286775631500743
184,2015,5,0.8933357155619082
185,2015,6,0.9163383121048292
186,2015,7,0.9022013713460844
187,2015,8,0.9122422915526364
188,2015,9,0.8878629139660835
189,2015,10,0.8928571428571428
190,2015,11,0.9069472156720478
191,2015,12,0.9416195856873822
192,2016,1,0.9256687957048968
193,2016,2,0.9184423218221895
194,2016,3,0.9219138932423712
195,2016,4,0.8783487044356609
196,2016,5,0.868357068426537
197,2016,6,0.8956560680698611
198,2016,7,0.8972633467922835
199,2016,8,0.894774516821761
200,2016,9,0.8933357155619082
201,2016,10,0.8920606601248885
202,2016,11,0.9056330374932077
203,2016,12,0.940379913485048
204,2017,1,0.9600614439324116
205,2017,2,0.9295408068414203
206,2017,3,0.9466111321469141
207,2017,4,0.938526513374003
208,2017,5,0.9164222873900294
209,2017,6,0.8917424647761727
210,2017,7,0.8797395970792645
211,2017,8,0.8475294516484448
212,2017,9,0.8418925745074929
213,2017,10,0.8514261387824605
214,2017,11,0.8607333448097779
215,2017,12,0.8396305625524769
216,2018,1,0.8298755186721991
217,2018,2,0.801153661272232
218,2018,3,0.8185985592665357
219,2018,4,0.8138020833333334
220,2018,5,0.8333333333333334
221,2018,6,0.8562376915831835
222,2018,7,0.8617718028266115
223,2018,8,0.8571918395336876
224,2018,9,0.8646031471554556
225,2018,10,0.864528399757932
226,2018,11,0.8775008775008776
227,2018,12,0.8805917576611484
228,2019,1,0.880514220304658
229,2019,2,0.8715356458079135
230,2019,3,0.8790436005625879
231,2019,4,0.8920606601248885
232,2019,5,0.8892050506846878
233,2019,6,0.892379082634303
234,2019,7,0.8844078889183691
235,2019,8,0.903995660820828
236,2019,9,0.9117432530999271
237,2019,10,0.9147457006952068
