,YEAR,MONTH,GBR
0,2000,1,0.6146281499692686
1,2000,2,0.6191950464396285
2,2000,3,0.6309546343617894
3,2000,4,0.6257822277847309
4,2000,5,0.6427561383211209
5,2000,6,0.670465973851827
6,2000,7,0.6607201850016517
7,2000,8,0.6670224119530416
8,2000,9,0.6846970215679562
9,2000,10,0.6814310051107325
10,2000,11,0.691945751453086
11,2000,12,0.6957489737702637
12,2001,1,0.6676904587033451
13,2001,2,0.676818950930626
14,2001,3,0.6871435442864015
15,2001,4,0.7042253521126761
16,2001,5,0.697350069735007
17,2001,6,0.7062146892655368
18,2001,7,0.7058159232072275
19,2001,8,0.6978367062107467
20,2001,9,0.6923289947382997
21,2001,10,0.6763611768684478
22,2001,11,0.6839945280437757
23,2001,12,0.7033832735457551
24,2002,1,0.6919936336585704
25,2002,2,0.7063144511936714
26,2002,3,0.704721634954193
27,2002,4,0.694107031304227
28,2002,5,0.6839477463921757
29,2002,6,0.6839009711393791
30,2002,7,0.6532958777030117
31,2002,8,0.6419309282321222
32,2002,9,0.64
33,2002,10,0.6366182836771073
34,2002,11,0.639467962655071
35,2002,12,0.6428801028608164
36,2003,1,0.6259780907668232
37,2003,2,0.6095702529716549
38,2003,3,0.634719136781974
39,2003,4,0.634236062662523
40,2003,5,0.6210022977085015
41,2003,6,0.610798924993892
42,2003,7,0.6014675808973896
43,2003,8,0.6232471174820816
44,2003,9,0.6353240152477764
45,2003,10,0.5999880002399952
46,2003,11,0.595734540688669
47,2003,12,0.5810912894415713
48,2004,1,0.5585968048262764
49,2004,2,0.5499945000549994
50,2004,3,0.5353319057815845
51,2004,4,0.5386770092652445
52,2004,5,0.5643340857787811
53,2004,6,0.5446919766871834
54,2004,7,0.5506607929515418
55,2004,8,0.5472555135992996
56,2004,9,0.5574136008918618
57,2004,10,0.5562972852692478
58,2004,11,0.5457621568520439
59,2004,12,0.5182152666217547
60,2005,1,0.524714030853185
61,2005,2,0.5321413367390379
62,2005,3,0.5206706237634072
63,2005,4,0.5322263026238757
64,2005,5,0.5274539796402764
65,2005,6,0.5518763796909492
66,2005,7,0.56471651231082
67,2005,8,0.5651313930488838
68,2005,9,0.5470758794244761
69,2005,10,0.5695409499943046
70,2005,11,0.5672149744753262
71,2005,12,0.578368999421631
72,2006,1,0.5745805561939784
73,2006,2,0.5623980653506552
74,2006,3,0.5723115664167573
75,2006,4,0.5750761975961816
76,2006,5,0.5468664552116373
77,2006,6,0.5351600128438403
78,2006,7,0.5431830526887561
79,2006,8,0.5344449788894233
80,2006,9,0.5249343832020997
81,2006,10,0.530194581411378
82,2006,11,0.5238070294903358
83,2006,12,0.5052035970496109
84,2007,1,0.5066882853668423
85,2007,2,0.5079752108097125
86,2007,3,0.5107513151846366
87,2007,4,0.5054078641463662
88,2007,5,0.500175061271445
89,2007,6,0.5049484952534842
90,2007,7,0.4960071425028521
91,2007,8,0.49239253532916444
92,2007,9,0.4959087527894867
93,2007,10,0.4893325504012527
94,2007,11,0.48035354020559135
95,2007,12,0.48407396650208157
96,2008,1,0.5044390637610977
97,2008,2,0.5079494082389394
98,2008,3,0.5037783375314862
99,2008,4,0.5057145746940427
100,2008,5,0.5063547521393488
101,2008,6,0.5084918132818061
102,2008,7,0.5017561465127948
103,2008,8,0.5065086359722434
104,2008,9,0.5601299501484344
105,2008,10,0.5616715344866322
106,2008,11,0.630715862503942
107,2008,12,0.6738544474393531
108,2009,1,0.6887052341597797
109,2009,2,0.7028394714647175
110,2009,3,0.714847380084352
111,2009,4,0.6943480072212194
112,2009,5,0.6719978496068812
113,2009,6,0.607976653696498
114,2009,7,0.6051803437424352
115,2009,8,0.5897617362585515
116,2009,9,0.6185056902523504
117,2009,10,0.6269592476489029
118,2009,11,0.6093845216331505
119,2009,12,0.6014675808973896
120,2010,1,0.6207709975789931
121,2010,2,0.6279829188646069
122,2010,3,0.6678242286630158
123,2010,4,0.6540222367560498
124,2010,5,0.6560818790185015
125,2010,6,0.6815238874122538
126,2010,7,0.6611133148221605
127,2010,8,0.6290495061961376
128,2010,9,0.6463288521199587
129,2010,10,0.6317518478741551
130,2010,11,0.6230529595015576
131,2010,12,0.6409023905659168
132,2011,1,0.6455777921239509
133,2011,2,0.6201935003721161
134,2011,3,0.6131583788092464
135,2011,4,0.6198859409868585
136,2011,5,0.5991611743559018
137,2011,6,0.6100909035446281
138,2011,7,0.6222775357809583
139,2011,8,0.6143260842855388
140,2011,9,0.6180851721367204
141,2011,10,0.6462453147214682
142,2011,11,0.6271165182490906
143,2011,12,0.6370238246910435
144,2012,1,0.6387735547748323
145,2012,2,0.6309546343617894
146,2012,3,0.6268413464552122
147,2012,4,0.6241418050181001
148,2012,5,0.61648480364959
149,2012,6,0.6500682571670026
150,2012,7,0.637795777791951
151,2012,8,0.6411900487304437
152,2012,9,0.6293662282081943
153,2012,10,0.6195019204559534
154,2012,11,0.6195019204559534
155,2012,12,0.620963735717834
156,2013,1,0.6151953245155337
157,2013,2,0.6351626016260162
158,2013,3,0.6652032195835827
159,2013,4,0.6565126050420168
160,2013,5,0.6419309282321222
161,2013,6,0.651508241579256
162,2013,7,0.6558667278808946
163,2013,8,0.6602839220864972
164,2013,9,0.6433350488934637
165,2013,10,0.6169792694965449
166,2013,11,0.628061801281246
167,2013,12,0.6110601894286587
168,2014,1,0.6082355087890031
169,2014,2,0.6132335806708775
170,2014,3,0.5983724269985639
171,2014,4,0.6009976561091412
172,2014,5,0.591715976331361
173,2014,6,0.5968011458582001
174,2014,7,0.583192395171167
175,2014,8,0.594106463878327
176,2014,9,0.605987153072355
177,2014,10,0.61667488899852
178,2014,11,0.6255473539346929
179,2014,12,0.6352029473416757
180,2015,1,0.6509992839007877
181,2015,2,0.6654688227856526
182,2015,3,0.6505757595471993
183,2015,4,0.6746272684341902
184,2015,5,0.6606328863050802
185,2015,6,0.6584578916178311
186,2015,7,0.6403278478581033
187,2015,8,0.6409023905659168
188,2015,9,0.6518479890489538
189,2015,10,0.6595435958316844
190,2015,11,0.6481721545242417
191,2015,12,0.6633939233116625
192,2016,1,0.6809206046574969
193,2016,2,0.6960395350455906
194,2016,3,0.7169486664754804
195,2016,4,0.7040270346381301
196,2016,5,0.6818491749624983
197,2016,6,0.6946856547412296
198,2016,7,0.7529553497477599
199,2016,8,0.7570595805889924
200,2016,9,0.7534091765237702
201,2016,10,0.778816199376947
202,2016,11,0.818464560484531
203,2016,12,0.7939028262940616
204,2017,1,0.8159268929503917
205,2017,2,0.7909515146721506
206,2017,3,0.8118201006656924
207,2017,4,0.801346261719689
208,2017,5,0.7741735697143299
209,2017,6,0.7755545214828602
210,2017,7,0.7721411474017451
211,2017,8,0.7572315614114796
212,2017,9,0.7708911501695961
213,2017,10,0.753693096171239
214,2017,11,0.75431847325941
215,2017,12,0.7404664938911514
216,2018,1,0.7355104442483084
217,2018,2,0.7019021548396153
218,2018,3,0.7270083605961469
219,2018,4,0.7126567844925884
220,2018,5,0.7346998751010212
221,2018,6,0.7486150621350501
222,2018,7,0.7614406457016676
223,2018,8,0.7621951219512195
224,2018,9,0.7792410192472531
225,2018,10,0.7673419275629221
226,2018,11,0.7707723138584861
227,2018,12,0.7848061528802386
228,2019,1,0.7937767899666613
229,2019,2,0.7637085688101422
230,2019,3,0.7563152321887763
231,2019,4,0.7608034083992696
232,2019,5,0.7638835841417768
233,2019,6,0.7923302432453847
234,2019,7,0.7908889591901297
235,2019,8,0.8233841086867024
236,2019,9,0.8274036074797286
237,2019,10,0.8168599901976802
238,2019,11,0.7722007722007722
239,2019,12,0.7730364873222015
240,2020,1,0.7617306520414382
241,2020,2,0.7688759034291865
242,2020,3,0.781799702916113
243,2020,4,0.8068420203324189
244,2020,5,0.7994244144216165
245,2020,6,0.8017960230917254
246,2020,7,0.8016674683341349
247,2020,8,0.7661074082586379
248,2020,9,0.7453786523553966
249,2020,10,0.7751337105650724
250,2020,11,0.7749535027898327
251,2020,12,0.7467144563918757
