,YEAR,MONTH,SWE
0,2000,1,8.443
1,2000,2,8.768
2,2000,3,8.6865
3,2000,4,8.678
4,2000,5,8.9183
5,2000,6,8.968
6,2000,7,8.7925
7,2000,8,9.217
8,2000,9,9.338
9,2000,10,9.6933
10,2000,11,9.892
11,2000,12,9.9
12,2001,1,9.415
13,2001,2,9.489
14,2001,3,9.7325
15,2001,4,10.385
16,2001,5,10.208
17,2001,6,10.851
18,2001,7,10.955
19,2001,8,10.572
20,2001,9,10.715
21,2001,10,10.6207
22,2001,11,10.58
23,2001,12,10.7285
24,2002,1,10.269
25,2002,2,10.68
26,2002,3,10.5
27,2002,4,10.237
28,2002,5,10.219
29,2002,6,9.69
30,2002,7,9.199
31,2002,8,9.552
32,2002,9,9.369
33,2002,10,9.219
34,2002,11,9.13
35,2002,12,9.0745
36,2003,1,8.792
37,2003,2,8.565
38,2003,3,8.497
39,2003,4,8.483
40,2003,5,8.118
41,2003,6,7.773
42,2003,7,7.966
43,2003,8,8.2235
44,2003,9,8.4345
45,2003,10,7.7285
46,2003,11,7.915
47,2003,12,7.542
48,2004,1,7.1903
49,2004,2,7.3927
50,2004,3,7.439
51,2004,4,7.465
52,2004,5,7.66
53,2004,6,7.4514
54,2004,7,7.546
55,2004,8,7.659
56,2004,9,7.4925
57,2004,10,7.275
58,2004,11,7.0997
59,2004,12,6.7168
60,2005,1,6.6855
61,2005,2,6.9838
62,2005,3,6.8621
63,2005,4,7.1093
64,2005,5,7.158
65,2005,6,7.4735
66,2005,7,7.9218
67,2005,8,7.7058
68,2005,9,7.4869
69,2005,10,7.8087
70,2005,11,7.9958
71,2005,12,8.1162
72,2006,1,7.8097
73,2006,2,7.6487
74,2006,3,7.9455
75,2006,4,7.758
76,2006,5,7.361
77,2006,6,7.2139
78,2006,7,7.1949
79,2006,8,7.2085
80,2006,9,7.2666
81,2006,10,7.3226
82,2006,11,7.205
83,2006,12,6.7674
84,2007,1,6.7818
85,2007,2,6.9436
86,2007,3,7.0502
87,2007,4,7.0057
88,2007,5,6.7123
89,2007,6,6.9293
90,2007,7,6.7934
91,2007,8,6.7607
92,2007,9,6.8822
93,2007,10,6.447
94,2007,11,6.4111
95,2007,12,6.4022
96,2008,1,6.3966
97,2008,2,6.3512
98,2008,3,6.1562
99,2008,4,6.0079
100,2008,5,6.0513
101,2008,6,6.026
102,2008,7,5.9874
103,2008,8,6.078
104,2008,9,6.5066
105,2008,10,6.9107
106,2008,11,7.74
107,2008,12,8.2834
108,2009,1,7.7836
109,2009,2,8.3831
110,2009,3,9.1955
111,2009,4,8.2182
112,2009,5,8.0405
113,2009,6,7.3909
114,2009,7,7.5568
115,2009,8,7.0895
116,2009,9,7.247
117,2009,10,7.0413
118,2009,11,6.9971
119,2009,12,6.9053
120,2010,1,7.0633
121,2010,2,7.2766
122,2010,3,7.2029
123,2010,4,7.1672
124,2010,5,7.2807
125,2010,6,7.8104
126,2010,7,7.7202
127,2010,8,7.0986
128,2010,9,7.2696
129,2010,10,6.7117
130,2010,11,6.6923
131,2010,12,6.9666
132,2011,1,6.6916
133,2011,2,6.3879
134,2011,3,6.3122
135,2011,4,6.2937
136,2011,5,5.9968
137,2011,6,6.1812
138,2011,7,6.2746
139,2011,8,6.3514
140,2011,9,6.3742
141,2011,10,6.8541
142,2011,11,6.6242
143,2011,12,6.7618
144,2012,1,6.8109
145,2012,2,6.7389
146,2012,3,6.6206
147,2012,4,6.6042
148,2012,5,6.7206
149,2012,6,7.2494
150,2012,7,6.9189
151,2012,8,6.7602
152,2012,9,6.7102
153,2012,10,6.5751
154,2012,11,6.658
155,2012,12,6.6249
156,2013,1,6.4851
157,2013,2,6.2904
158,2013,3,6.4531
159,2013,4,6.5094
160,2013,5,6.4734
161,2013,6,6.5304
162,2013,7,6.6636
163,2013,8,6.6039
164,2013,9,6.6205
165,2013,10,6.3584
166,2013,11,6.5354
167,2013,12,6.5484
168,2014,1,6.4909
169,2014,2,6.5421
170,2014,3,6.4595
171,2014,4,6.4524
172,2014,5,6.5013
173,2014,6,6.6841
174,2014,7,6.6937
175,2014,8,6.8672
176,2014,9,7.0127
177,2014,10,7.2224
178,2014,11,7.407
179,2014,12,7.4119
180,2015,1,7.8986
