DATE,INDEX,YEAR,MONTH,DAY
4/1/1971,1.0109,1971,1,4
5/1/1971,1.0102,1971,1,5
6/1/1971,1.0106,1971,1,6
7/1/1971,1.0148,1971,1,7
8/1/1971,1.0154,1971,1,8
11/1/1971,1.0159,1971,1,11
12/1/1971,1.013,1971,1,12
13/1/1971,1.0122,1971,1,13
14/1/1971,1.0133,1971,1,14
15/1/1971,1.0135,1971,1,15
18/1/1971,1.0126,1971,1,18
19/1/1971,1.0111,1971,1,19
20/1/1971,1.0115,1971,1,20
21/1/1971,1.0109,1971,1,21
22/1/1971,1.0117,1971,1,22
25/1/1971,1.0111,1971,1,25
26/1/1971,1.0107,1971,1,26
27/1/1971,1.0101,1971,1,27
28/1/1971,1.009,1971,1,28
29/1/1971,1.008,1971,1,29
1/2/1971,1.0076,1971,2,1
2/2/1971,1.0087,1971,2,2
3/2/1971,1.0085,1971,2,3
4/2/1971,1.0078,1971,2,4
5/2/1971,1.0078,1971,2,5
8/2/1971,1.0083,1971,2,8
9/2/1971,1.0083,1971,2,9
10/2/1971,1.0086,1971,2,10
11/2/1971,1.0086,1971,2,11
12/2/1971,.,1971,2,12
15/2/1971,.,1971,2,15
16/2/1971,1.0084,1971,2,16
17/2/1971,1.0087,1971,2,17
18/2/1971,1.0076,1971,2,18
19/2/1971,1.0066,1971,2,19
22/2/1971,1.0043,1971,2,22
23/2/1971,1.0035,1971,2,23
24/2/1971,1.0075,1971,2,24
25/2/1971,1.0066,1971,2,25
26/2/1971,1.007,1971,2,26
1/3/1971,1.0076,1971,3,1
2/3/1971,1.0071,1971,3,2
3/3/1971,1.0073,1971,3,3
4/3/1971,1.0064,1971,3,4
5/3/1971,1.0047,1971,3,5
8/3/1971,1.003,1971,3,8
9/3/1971,1.004,1971,3,9
10/3/1971,1.0036,1971,3,10
11/3/1971,1.0049,1971,3,11
12/3/1971,1.0056,1971,3,12
15/3/1971,1.0059,1971,3,15
16/3/1971,1.0052,1971,3,16
17/3/1971,1.0056,1971,3,17
18/3/1971,1.0065,1971,3,18
19/3/1971,1.0077,1971,3,19
22/3/1971,1.0079,1971,3,22
23/3/1971,1.0078,1971,3,23
24/3/1971,1.0076,1971,3,24
25/3/1971,1.007,1971,3,25
26/3/1971,1.0074,1971,3,26
29/3/1971,1.0075,1971,3,29
30/3/1971,1.0082,1971,3,30
31/3/1971,1.0081,1971,3,31
1/4/1971,1.0076,1971,4,1
2/4/1971,1.0073,1971,4,2
5/4/1971,1.0071,1971,4,5
6/4/1971,1.0062,1971,4,6
7/4/1971,1.0069,1971,4,7
8/4/1971,1.0071,1971,4,8
9/4/1971,1.0068,1971,4,9
12/4/1971,1.0069,1971,4,12
13/4/1971,1.0076,1971,4,13
14/4/1971,1.0081,1971,4,14
15/4/1971,1.0075,1971,4,15
16/4/1971,1.0068,1971,4,16
19/4/1971,1.0073,1971,4,19
20/4/1971,1.0075,1971,4,20
21/4/1971,1.0073,1971,4,21
22/4/1971,1.0076,1971,4,22
23/4/1971,1.0085,1971,4,23
26/4/1971,1.0092,1971,4,26
27/4/1971,1.0095,1971,4,27
28/4/1971,1.0089,1971,4,28
29/4/1971,1.0086,1971,4,29
30/4/1971,1.0091,1971,4,30
3/5/1971,1.0089,1971,5,3
4/5/1971,1.009,1971,5,4
5/5/1971,1.0074,1971,5,5
6/5/1971,1.0074,1971,5,6
7/5/1971,1.0069,1971,5,7
10/5/1971,1.0084,1971,5,10
11/5/1971,1.0084,1971,5,11
12/5/1971,1.0083,1971,5,12
13/5/1971,1.0089,1971,5,13
14/5/1971,1.0089,1971,5,14
17/5/1971,1.0089,1971,5,17
18/5/1971,1.0089,1971,5,18
19/5/1971,1.0095,1971,5,19
20/5/1971,1.0093,1971,5,20
21/5/1971,1.0092,1971,5,21
24/5/1971,1.009,1971,5,24
25/5/1971,1.0091,1971,5,25
26/5/1971,1.0086,1971,5,26
27/5/1971,1.0093,1971,5,27
28/5/1971,1.0101,1971,5,28
31/5/1971,.,1971,5,31
1/6/1971,1.0126,1971,6,1
2/6/1971,1.0134,1971,6,2
3/6/1971,1.0185,1971,6,3
4/6/1971,1.0174,1971,6,4
7/6/1971,1.0161,1971,6,7
8/6/1971,1.0179,1971,6,8
9/6/1971,1.0186,1971,6,9
10/6/1971,1.0239,1971,6,10
11/6/1971,1.0239,1971,6,11
14/6/1971,1.0232,1971,6,14
15/6/1971,1.0248,1971,6,15
16/6/1971,1.0244,1971,6,16
17/6/1971,1.0242,1971,6,17
18/6/1971,1.0225,1971,6,18
21/6/1971,1.0242,1971,6,21
22/6/1971,1.0243,1971,6,22
23/6/1971,1.0234,1971,6,23
24/6/1971,1.0242,1971,6,24
25/6/1971,1.0233,1971,6,25
28/6/1971,1.0221,1971,6,28
29/6/1971,1.023,1971,6,29
30/6/1971,1.0235,1971,6,30
1/7/1971,1.0232,1971,7,1
2/7/1971,1.0226,1971,7,2
5/7/1971,.,1971,7,5
6/7/1971,1.023,1971,7,6
7/7/1971,1.0233,1971,7,7
8/7/1971,1.023,1971,7,8
9/7/1971,1.023,1971,7,9
12/7/1971,1.0231,1971,7,12
13/7/1971,1.0231,1971,7,13
14/7/1971,1.023,1971,7,14
15/7/1971,1.0227,1971,7,15
16/7/1971,1.0228,1971,7,16
19/7/1971,1.0222,1971,7,19
20/7/1971,1.0203,1971,7,20
21/7/1971,1.02,1971,7,21
22/7/1971,1.0175,1971,7,22
23/7/1971,1.0151,1971,7,23
26/7/1971,1.0176,1971,7,26
27/7/1971,1.0205,1971,7,27
28/7/1971,1.0221,1971,7,28
29/7/1971,1.0207,1971,7,29
30/7/1971,1.0188,1971,7,30
2/8/1971,1.0193,1971,8,2
3/8/1971,1.0195,1971,8,3
4/8/1971,1.0185,1971,8,4
5/8/1971,1.0168,1971,8,5
6/8/1971,1.0186,1971,8,6
9/8/1971,1.0063,1971,8,9
10/8/1971,1.0128,1971,8,10
11/8/1971,1.0143,1971,8,11
12/8/1971,1.0132,1971,8,12
13/8/1971,1.0119,1971,8,13
16/8/1971,1.0098,1971,8,16
17/8/1971,1.0067,1971,8,17
18/8/1971,1.0087,1971,8,18
19/8/1971,1.0112,1971,8,19
20/8/1971,1.0113,1971,8,20
23/8/1971,1.0128,1971,8,23
24/8/1971,1.0143,1971,8,24
25/8/1971,1.0121,1971,8,25
26/8/1971,1.0106,1971,8,26
27/8/1971,1.01,1971,8,27
30/8/1971,1.0135,1971,8,30
31/8/1971,1.0142,1971,8,31
1/9/1971,1.0162,1971,9,1
2/9/1971,1.0143,1971,9,2
3/9/1971,1.0146,1971,9,3
6/9/1971,.,1971,9,6
7/9/1971,1.0162,1971,9,7
8/9/1971,1.0161,1971,9,8
9/9/1971,1.0157,1971,9,9
10/9/1971,1.0159,1971,9,10
13/9/1971,1.0161,1971,9,13
14/9/1971,1.0153,1971,9,14
15/9/1971,1.0141,1971,9,15
16/9/1971,1.0142,1971,9,16
17/9/1971,1.0136,1971,9,17
20/9/1971,1.012,1971,9,20
21/9/1971,1.0122,1971,9,21
22/9/1971,1.0119,1971,9,22
23/9/1971,1.0092,1971,9,23
24/9/1971,1.0066,1971,9,24
27/9/1971,1.0098,1971,9,27
28/9/1971,1.0099,1971,9,28
29/9/1971,1.0098,1971,9,29
30/9/1971,1.0093,1971,9,30
1/10/1971,1.0091,1971,10,1
4/10/1971,1.0082,1971,10,4
5/10/1971,1.0079,1971,10,5
6/10/1971,1.0075,1971,10,6
7/10/1971,1.0062,1971,10,7
8/10/1971,1.0057,1971,10,8
11/10/1971,.,1971,10,11
12/10/1971,1.0054,1971,10,12
13/10/1971,1.0056,1971,10,13
14/10/1971,1.0045,1971,10,14
15/10/1971,1.0051,1971,10,15
18/10/1971,1.0045,1971,10,18
19/10/1971,1.0036,1971,10,19
20/10/1971,1.0034,1971,10,20
21/10/1971,1.0034,1971,10,21
22/10/1971,1.0007,1971,10,22
25/10/1971,.,1971,10,25
