DATE,DEXUSEU,year,month,day
4/1/1999,1.1812,,,
5/1/1999,1.176,,,
6/1/1999,1.1636,,,
7/1/1999,1.1672,,,
8/1/1999,1.1554,,,
11/1/1999,1.1534,,,
12/1/1999,1.1548,,,
13/1/1999,1.1698,,,
14/1/1999,1.1689,,,
15/1/1999,1.1591,,,
18/1/1999,.,,,
19/1/1999,1.161,,,
20/1/1999,1.1575,,,
21/1/1999,1.1577,,,
22/1/1999,1.1582,,,
25/1/1999,1.1566,,,
26/1/1999,1.1577,,,
27/1/1999,1.1481,,,
28/1/1999,1.1395,,,
29/1/1999,1.1371,,,
1/2/1999,1.1303,,,
2/2/1999,1.1328,,,
3/2/1999,1.1339,,,
4/2/1999,1.1306,,,
5/2/1999,1.1283,,,
8/2/1999,1.1296,,,
9/2/1999,1.13,,,
10/2/1999,1.1331,,,
11/2/1999,1.1303,,,
12/2/1999,1.1282,,,
15/2/1999,.,,,
16/2/1999,1.1189,,,
17/2/1999,1.123,,,
18/2/1999,1.1223,,,
19/2/1999,1.1075,,,
22/2/1999,1.1037,,,
23/2/1999,1.0993,,,
24/2/1999,1.0972,,,
25/2/1999,1.1068,,,
26/2/1999,1.0995,,,
1/3/1999,1.0891,,,
2/3/1999,1.0931,,,
3/3/1999,1.0888,,,
4/3/1999,1.0824,,,
5/3/1999,1.0843,,,
8/3/1999,1.0899,,,
9/3/1999,1.0873,,,
10/3/1999,1.0961,,,
11/3/1999,1.0932,,,
12/3/1999,1.0936,,,
15/3/1999,1.093,,,
16/3/1999,1.0915,,,
17/3/1999,1.1015,,,
18/3/1999,1.099,,,
19/3/1999,1.0923,,,
22/3/1999,1.0915,,,
23/3/1999,1.0918,,,
24/3/1999,1.0921,,,
25/3/1999,1.0871,,,
26/3/1999,1.0743,,,
29/3/1999,1.0716,,,
30/3/1999,1.0732,,,
31/3/1999,1.0808,,,
1/4/1999,1.0782,,,
2/4/1999,1.0782,,,
5/4/1999,1.0706,,,
6/4/1999,1.0838,,,
7/4/1999,1.0784,,,
8/4/1999,1.0835,,,
9/4/1999,1.0786,,,
12/4/1999,1.0842,,,
13/4/1999,1.078,,,
14/4/1999,1.0779,,,
15/4/1999,1.0717,,,
16/4/1999,1.0688,,,
19/4/1999,1.0608,,,
20/4/1999,1.063,,,
21/4/1999,1.0612,,,
22/4/1999,1.0598,,,
23/4/1999,1.0634,,,
26/4/1999,1.059,,,
27/4/1999,1.0649,,,
28/4/1999,1.0616,,,
29/4/1999,1.0591,,,
30/4/1999,1.0564,,,
3/5/1999,1.0571,,,
4/5/1999,1.0593,,,
5/5/1999,1.0724,,,
6/5/1999,1.0779,,,
7/5/1999,1.0781,,,
10/5/1999,1.0787,,,
11/5/1999,1.072,,,
12/5/1999,1.0666,,,
13/5/1999,1.0626,,,
14/5/1999,1.065,,,
17/5/1999,1.0672,,,
18/5/1999,1.0672,,,
19/5/1999,1.0641,,,
20/5/1999,1.063,,,
21/5/1999,1.0577,,,
24/5/1999,1.0593,,,
25/5/1999,1.0587,,,
26/5/1999,1.0471,,,
27/5/1999,1.0439,,,
28/5/1999,1.0422,,,
31/5/1999,.,,,
1/6/1999,1.0449,,,
2/6/1999,1.0357,,,
3/6/1999,1.0355,,,
4/6/1999,1.0327,,,
7/6/1999,1.0296,,,
8/6/1999,1.0438,,,
9/6/1999,1.045,,,
10/6/1999,1.0477,,,
11/6/1999,1.0516,,,
14/6/1999,1.0416,,,
15/6/1999,1.042,,,
16/6/1999,1.0298,,,
17/6/1999,1.0329,,,
18/6/1999,1.0368,,,
21/6/1999,1.0323,,,
22/6/1999,1.0323,,,
23/6/1999,1.0316,,,
24/6/1999,1.0372,,,
25/6/1999,1.0448,,,
28/6/1999,1.0373,,,
29/6/1999,1.0337,,,
30/6/1999,1.031,,,
1/7/1999,1.0236,,,
2/7/1999,1.0244,,,
5/7/1999,.,,,
6/7/1999,1.0249,,,
7/7/1999,1.0224,,,
8/7/1999,1.0198,,,
9/7/1999,1.0186,,,
12/7/1999,1.0139,,,
13/7/1999,1.0176,,,
14/7/1999,1.0215,,,
15/7/1999,1.022,,,
16/7/1999,1.0203,,,
19/7/1999,1.0203,,,
20/7/1999,1.042,,,
21/7/1999,1.0526,,,
22/7/1999,1.0509,,,
23/7/1999,1.0497,,,
26/7/1999,1.0651,,,
27/7/1999,1.0627,,,
28/7/1999,1.0644,,,
29/7/1999,1.0719,,,
30/7/1999,1.0694,,,
2/8/1999,1.0661,,,
3/8/1999,1.068,,,
4/8/1999,1.0766,,,
5/8/1999,1.0793,,,
6/8/1999,1.077,,,
9/8/1999,1.0694,,,
10/8/1999,1.0752,,,
11/8/1999,1.066,,,
12/8/1999,1.0636,,,
13/8/1999,1.0568,,,
16/8/1999,1.0557,,,
17/8/1999,1.0525,,,
18/8/1999,1.0505,,,
19/8/1999,1.0643,,,
20/8/1999,1.0654,,,
23/8/1999,1.0553,,,
24/8/1999,1.0506,,,
25/8/1999,1.0461,,,
