DATE,DEXUSAL,
4/1/1971,1.1127,0.898714838
5/1/1971,1.1132,0.898311175
6/1/1971,1.114,0.897666068
7/1/1971,1.1138,0.897827258
8/1/1971,1.1124,0.89895721
11/1/1971,1.1152,0.896700143
12/1/1971,1.1156,0.89637863
13/1/1971,1.1165,0.895656068
14/1/1971,1.1189,0.893734918
15/1/1971,1.1182,0.894294402
18/1/1971,1.1179,0.894534395
19/1/1971,1.1193,0.893415528
20/1/1971,1.1193,0.893415528
21/1/1971,1.1198,0.89301661
22/1/1971,1.1204,0.892538379
25/1/1971,1.1224,0.890947969
26/1/1971,1.123,0.89047195
27/1/1971,1.123,0.89047195
28/1/1971,1.1234,0.890154887
29/1/1971,1.1236,0.88999644
1/2/1971,1.1241,0.889600569
2/2/1971,1.124,0.889679715
3/2/1971,1.1241,0.889600569
4/2/1971,1.1233,0.890234132
5/2/1971,1.1224,0.890947969
8/2/1971,1.124,0.889679715
9/2/1971,1.1226,0.890789239
10/2/1971,1.1229,0.890551251
11/2/1971,1.1229,0.890551251
12/2/1971,.,#VALUE!
15/2/1971,.,#VALUE!
16/2/1971,1.1245,0.889284126
17/2/1971,1.1245,0.889284126
18/2/1971,1.1244,0.889363216
19/2/1971,1.1244,0.889363216
22/2/1971,1.1245,0.889284126
23/2/1971,1.1245,0.889284126
24/2/1971,1.1245,0.889284126
25/2/1971,1.1238,0.889838049
26/2/1971,1.123,0.89047195
1/3/1971,1.1231,0.890392663
2/3/1971,1.1241,0.889600569
3/3/1971,1.1245,0.889284126
4/3/1971,1.1239,0.889758875
5/3/1971,1.1241,0.889600569
8/3/1971,1.1245,0.889284126
9/3/1971,1.1244,0.889363216
10/3/1971,1.1245,0.889284126
11/3/1971,1.1243,0.88944232
12/3/1971,1.1245,0.889284126
15/3/1971,1.1245,0.889284126
16/3/1971,1.1241,0.889600569
17/3/1971,1.1246,0.889205051
18/3/1971,1.1244,0.889363216
19/3/1971,1.1244,0.889363216
22/3/1971,1.1245,0.889284126
23/3/1971,1.1245,0.889284126
24/3/1971,1.1246,0.889205051
25/3/1971,1.1241,0.889600569
26/3/1971,1.1243,0.88944232
29/3/1971,1.1246,0.889205051
30/3/1971,1.124,0.889679715
31/3/1971,1.1234,0.890154887
1/4/1971,1.1224,0.890947969
2/4/1971,1.1213,0.891821992
5/4/1971,1.123,0.89047195
6/4/1971,1.1243,0.88944232
7/4/1971,1.1234,0.890154887
8/4/1971,1.1233,0.890234132
9/4/1971,1.1233,0.890234132
12/4/1971,1.1234,0.890154887
13/4/1971,1.1233,0.890234132
14/4/1971,1.1239,0.889758875
15/4/1971,1.1242,0.889521437
16/4/1971,1.1242,0.889521437
19/4/1971,1.1245,0.889284126
20/4/1971,1.1245,0.889284126
21/4/1971,1.1246,0.889205051
22/4/1971,1.1242,0.889521437
23/4/1971,1.1243,0.88944232
26/4/1971,1.1243,0.88944232
27/4/1971,1.1244,0.889363216
28/4/1971,1.1246,0.889205051
29/4/1971,1.1245,0.889284126
30/4/1971,1.1245,0.889284126
3/5/1971,1.1243,0.88944232
4/5/1971,1.1242,0.889521437
5/5/1971,1.1246,0.889205051
6/5/1971,1.1242,0.889521437
7/5/1971,1.1243,0.88944232
10/5/1971,1.1236,0.88999644
11/5/1971,1.1235,0.890075656
12/5/1971,1.124,0.889679715
13/5/1971,1.124,0.889679715
14/5/1971,1.1242,0.889521437
17/5/1971,1.1245,0.889284126
18/5/1971,1.1244,0.889363216
19/5/1971,1.1246,0.889205051
20/5/1971,1.1245,0.889284126
21/5/1971,1.1246,0.889205051
24/5/1971,1.1246,0.889205051
25/5/1971,1.1244,0.889363216
26/5/1971,1.1246,0.889205051
27/5/1971,1.1243,0.88944232
28/5/1971,1.1238,0.889838049
31/5/1971,.,#VALUE!
1/6/1971,1.1231,0.890392663
2/6/1971,1.1234,0.890154887
3/6/1971,1.1243,0.88944232
4/6/1971,1.1244,0.889363216
7/6/1971,1.1245,0.889284126
8/6/1971,1.1243,0.88944232
9/6/1971,1.1246,0.889205051
10/6/1971,1.1245,0.889284126
11/6/1971,1.1246,0.889205051
14/6/1971,1.1242,0.889521437
15/6/1971,1.1242,0.889521437
16/6/1971,1.1245,0.889284126
17/6/1971,1.1243,0.88944232
18/6/1971,1.1244,0.889363216
21/6/1971,1.1244,0.889363216
22/6/1971,1.1244,0.889363216
23/6/1971,1.1246,0.889205051
24/6/1971,1.1244,0.889363216
25/6/1971,1.1244,0.889363216
28/6/1971,1.1242,0.889521437
29/6/1971,1.1244,0.889363216
30/6/1971,1.1246,0.889205051
1/7/1971,1.1243,0.88944232
2/7/1971,1.1243,0.88944232
5/7/1971,.,#VALUE!
6/7/1971,1.124,0.889679715
7/7/1971,1.1242,0.889521437
8/7/1971,1.1242,0.889521437
9/7/1971,1.1241,0.889600569
12/7/1971,1.124,0.889679715
13/7/1971,1.1239,0.889758875
14/7/1971,1.1242,0.889521437
15/7/1971,1.1242,0.889521437
16/7/1971,1.1243,0.88944232
19/7/1971,1.124,0.889679715
20/7/1971,1.124,0.889679715
21/7/1971,1.1244,0.889363216
22/7/1971,1.1243,0.88944232
23/7/1971,1.1243,0.88944232
26/7/1971,1.1239,0.889758875
27/7/1971,1.1238,0.889838049
28/7/1971,1.1241,0.889600569
29/7/1971,1.1241,0.889600569
30/7/1971,1.1241,0.889600569
2/8/1971,1.1237,0.889917238
3/8/1971,1.1235,0.890075656
4/8/1971,1.1245,0.889284126
5/8/1971,1.124,0.889679715
6/8/1971,1.1241,0.889600569
9/8/1971,1.1245,0.889284126
10/8/1971,1.1242,0.889521437
11/8/1971,1.1247,0.889125989
12/8/1971,1.1246,0.889205051
13/8/1971,1.1246,0.889205051
16/8/1971,.,#VALUE!
17/8/1971,.,#VALUE!
18/8/1971,.,#VALUE!
19/8/1971,.,#VALUE!
20/8/1971,.,#VALUE!
23/8/1971,1.1318,0.88354833
24/8/1971,1.1363,0.880049283
25/8/1971,1.1428,0.875043752
26/8/1971,1.1492,0.870170553
27/8/1971,1.1478,0.871231922
30/8/1971,1.1471,0.871763578
31/8/1971,1.1406,0.876731545
1/9/1971,1.1409,0.876501008
2/9/1971,1.1423,0.875426771
3/9/1971,1.1432,0.874737579
6/9/1971,.,#VALUE!
7/9/1971,1.1427,0.875120329
8/9/1971,1.1427,0.875120329
9/9/1971,1.1428,0.875043752
10/9/1971,1.1431,0.874814102
13/9/1971,1.1435,0.874508089
14/9/1971,1.1465,0.872219799
15/9/1971,1.1485,0.870700914
16/9/1971,1.1485,0.870700914
17/9/1971,1.149,0.870322019
20/9/1971,1.15,0.869565217
21/9/1971,1.1496,0.86986778
22/9/1971,1.15,0.869565217
23/9/1971,1.153,0.867302689
24/9/1971,1.1539,0.866626224
27/9/1971,1.153,0.867302689
28/9/1971,1.1518,0.868206286
29/9/1971,1.1545,0.866175834
30/9/1971,1.1549,0.865875833
1/10/1971,1.157,0.864304235
4/10/1971,1.1569,0.864378944
5/10/1971,1.1571,0.864229539
6/10/1971,1.1567,0.8645284
7/10/1971,1.1571,0.864229539
8/10/1971,1.1574,0.86400553
11/10/1971,.,#VALUE!
12/10/1971,1.1572,0.864154857
13/10/1971,1.157,0.864304235
14/10/1971,1.1572,0.864154857
15/10/1971,1.1569,0.864378944
18/10/1971,1.1571,0.864229539
19/10/1971,1.1571,0.864229539
20/10/1971,1.1579,0.863632438
21/10/1971,1.1584,0.863259669
22/10/1971,1.1586,0.863110651
25/10/1971,.,#VALUE!
26/10/1971,1.1592,0.862663906
27/10/1971,1.1595,0.862440707
28/10/1971,1.1592,0.862663906
29/10/1971,1.158,0.863557858
1/11/1971,1.1586,0.863110651
2/11/1971,.,#VALUE!
3/11/1971,1.1587,0.863036161
4/11/1971,1.1587,0.863036161
5/11/1971,1.159,0.86281277
8/11/1971,1.1588,0.862961685
9/11/1971,1.1586,0.863110651
10/11/1971,1.1586,0.863110651
11/11/1971,1.1589,0.862887221
12/11/1971,1.1591,0.862738331
15/11/1971,1.1588,0.862961685
16/11/1971,1.1587,0.863036161
17/11/1971,1.1591,0.862738331
18/11/1971,1.159,0.86281277
19/11/1971,1.1592,0.862663906
22/11/1971,1.1591,0.862738331
23/11/1971,1.1592,0.862663906
24/11/1971,1.159,0.86281277
25/11/1971,.,#VALUE!
26/11/1971,1.1591,0.862738331
29/11/1971,1.1592,0.862663906
30/11/1971,1.1591,0.862738331
1/12/1971,1.1592,0.862663906
2/12/1971,1.1588,0.862961685
3/12/1971,1.1613,0.861103935
6/12/1971,1.161,0.861326443
7/12/1971,1.1625,0.860215054
8/12/1971,1.1657,0.85785365
9/12/1971,1.1702,0.854554777
10/12/1971,1.1704,0.854408749
13/12/1971,1.1708,0.854116843
14/12/1971,1.1708,0.854116843
15/12/1971,1.171,0.853970965
16/12/1971,1.1712,0.853825137
17/12/1971,1.1756,0.850629466
20/12/1971,.,#VALUE!
21/12/1971,.,#VALUE!
22/12/1971,1.1871,0.842389015
23/12/1971,1.1864,0.842886042
24/12/1971,1.1871,0.842389015
27/12/1971,1.1882,0.841609157
28/12/1971,1.1879,0.841821702
29/12/1971,1.1888,0.841184388
30/12/1971,1.1887,0.841255153
31/12/1971,1.1887,0.841255153
3/1/1972,1.191,0.839630563
4/1/1972,1.19,0.840336134
5/1/1972,1.1905,0.8399832
6/1/1972,1.1905,0.8399832
7/1/1972,1.1905,0.8399832
10/1/1972,1.1905,0.8399832
11/1/1972,1.191,0.839630563
12/1/1972,1.19,0.840336134
13/1/1972,1.1915,0.839278221
14/1/1972,1.193,0.838222967
17/1/1972,1.192,0.838926174
18/1/1972,1.192,0.838926174
19/1/1972,1.192,0.838926174
20/1/1972,1.188,0.841750842
21/1/1972,1.191,0.839630563
24/1/1972,1.1915,0.839278221
