DATE,DEXUSUK,Year,Month,Day
4/1/1971,2.3938,,,
5/1/1971,2.3949,,,
6/1/1971,2.3967,,,
7/1/1971,2.3963,,,
8/1/1971,2.3972,,,
11/1/1971,2.3992,,,
12/1/1971,2.4001,,,
13/1/1971,2.4021,,,
14/1/1971,2.4071,,,
15/1/1971,2.4057,,,
18/1/1971,2.4052,,,
19/1/1971,2.4081,,,
20/1/1971,2.408,,,
21/1/1971,2.4092,,,
22/1/1971,2.4103,,,
25/1/1971,2.4147,,,
26/1/1971,2.416,,,
27/1/1971,2.4161,,,
28/1/1971,2.4169,,,
29/1/1971,2.4174,,,
1/2/1971,2.4184,,,
2/2/1971,2.4181,,,
3/2/1971,2.4184,,,
4/2/1971,2.4167,,,
5/2/1971,2.4147,,,
8/2/1971,2.4182,,,
9/2/1971,2.4151,,,
10/2/1971,2.4159,,,
11/2/1971,2.4158,,,
12/2/1971,.,,,
15/2/1971,.,,,
16/2/1971,2.4193,,,
17/2/1971,2.4193,,,
18/2/1971,2.4191,,,
19/2/1971,2.419,,,
22/2/1971,2.4192,,,
23/2/1971,2.4193,,,
24/2/1971,2.4193,,,
25/2/1971,2.4177,,,
26/2/1971,2.416,,,
1/3/1971,2.4162,,,
2/3/1971,2.4184,,,
3/3/1971,2.4193,,,
4/3/1971,2.4179,,,
5/3/1971,2.4183,,,
8/3/1971,2.4192,,,
9/3/1971,2.4188,,,
10/3/1971,2.4192,,,
11/3/1971,2.4188,,,
12/3/1971,2.4193,,,
15/3/1971,2.4193,,,
16/3/1971,2.4183,,,
17/3/1971,2.4194,,,
18/3/1971,2.419,,,
19/3/1971,2.419,,,
22/3/1971,2.4193,,,
23/3/1971,2.4193,,,
24/3/1971,2.4194,,,
25/3/1971,2.4185,,,
26/3/1971,2.4188,,,
29/3/1971,2.4194,,,
30/3/1971,2.4181,,,
31/3/1971,2.4168,,,
1/4/1971,2.4147,,,
2/4/1971,2.4125,,,
5/4/1971,2.4161,,,
6/4/1971,2.4189,,,
7/4/1971,2.417,,,
8/4/1971,2.4167,,,
9/4/1971,2.4167,,,
12/4/1971,2.4169,,,
13/4/1971,2.4167,,,
14/4/1971,2.418,,,
15/4/1971,2.4187,,,
16/4/1971,2.4186,,,
19/4/1971,2.4193,,,
20/4/1971,2.4193,,,
21/4/1971,2.4196,,,
22/4/1971,2.4187,,,
23/4/1971,2.4189,,,
26/4/1971,2.4188,,,
27/4/1971,2.419,,,
28/4/1971,2.4195,,,
29/4/1971,2.4192,,,
30/4/1971,2.4193,,,
3/5/1971,2.4189,,,
4/5/1971,2.4185,,,
5/5/1971,2.4194,,,
6/5/1971,2.4185,,,
7/5/1971,2.4188,,,
10/5/1971,2.4173,,,
11/5/1971,2.417,,,
12/5/1971,2.4183,,,
13/5/1971,2.4183,,,
14/5/1971,2.4186,,,
17/5/1971,2.4193,,,
18/5/1971,2.419,,,
19/5/1971,2.4194,,,
20/5/1971,2.4193,,,
21/5/1971,2.4194,,,
24/5/1971,2.4194,,,
25/5/1971,2.419,,,
26/5/1971,2.4194,,,
27/5/1971,2.4187,,,
28/5/1971,2.4178,,,
31/5/1971,.,,,
1/6/1971,2.4162,,,
2/6/1971,2.417,,,
3/6/1971,2.4188,,,
4/6/1971,2.419,,,
7/6/1971,2.4192,,,
8/6/1971,2.4188,,,
9/6/1971,2.4194,,,
10/6/1971,2.4193,,,
11/6/1971,2.4194,,,
14/6/1971,2.4186,,,
15/6/1971,2.4187,,,
16/6/1971,2.4193,,,
17/6/1971,2.4189,,,
18/6/1971,2.4191,,,
21/6/1971,2.4191,,,
22/6/1971,2.419,,,
23/6/1971,2.4195,,,
24/6/1971,2.4191,,,
25/6/1971,2.4191,,,
28/6/1971,2.4185,,,
29/6/1971,2.419,,,
30/6/1971,2.4196,,,
1/7/1971,2.419,,,
2/7/1971,2.419,,,
5/7/1971,.,,,
6/7/1971,2.4181,,,
7/7/1971,2.4187,,,
8/7/1971,2.4185,,,
9/7/1971,2.4183,,,
12/7/1971,2.4182,,,
13/7/1971,2.418,,,
14/7/1971,2.4187,,,
15/7/1971,2.4187,,,
16/7/1971,2.4189,,,
19/7/1971,2.4183,,,
20/7/1971,2.4182,,,
21/7/1971,2.4191,,,
22/7/1971,2.4188,,,
23/7/1971,2.419,,,
26/7/1971,2.418,,,
27/7/1971,2.4178,,,
28/7/1971,2.4185,,,
29/7/1971,2.4184,,,
30/7/1971,2.4184,,,
2/8/1971,2.4175,,,
3/8/1971,2.417,,,
4/8/1971,2.4193,,,
5/8/1971,2.4183,,,
6/8/1971,2.4185,,,
9/8/1971,2.4192,,,
10/8/1971,2.4187,,,
11/8/1971,2.4197,,,
12/8/1971,2.4196,,,
13/8/1971,2.4195,,,
16/8/1971,.,,,
17/8/1971,.,,,
18/8/1971,.,,,
19/8/1971,.,,,
20/8/1971,.,,,
23/8/1971,2.435,,,
24/8/1971,2.4447,,,
25/8/1971,2.4589,,,
